class	vtable_rva	method_count	method_rvas
.?AV?$SingletonInstance@VSteamPeerLobbyClass@@@@	0x7ff608	2	0x1d940,0x1d990
.?AV?$SingletonInstance@VTheConsole@@@@	0x7ff7d8	2	0x1d9c0,0x1da10
.?AVexception@std@@	0x7ff7f8	2	0x1f810,0x22b00
.?AVbad_alloc@std@@	0x7ff828	2	0x1f810,0x22b00
.?AVbad_array_new_length@std@@	0x7ff840	2	0x1f810,0x22b00
.?AVConsoleCommand@@	0x7ff880	5	0x1f760,0x1fa90,0x1fa90,0x1fa90,0x1f9f0
.?AVRefCountClass@@	0x7ff8b8	4	0x1f92b0,0x1f92c0,0x1f7e0,0x1f9d0
.?AV?$DynamicVectorClass@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@@@	0x7ff8e0	1	0x1f6b0
.?AV?$DynamicVectorClass@M@@	0x7ff8f0	1	0x1f630
.?AV?$DynamicVectorClass@H@@	0x7ff900	1	0x370030
.?AV?$DynamicVectorClass@UClanStruct@InternetPlayerStruct@@@@	0x7ff910	1	0x1f670
.?AV?$DynamicVectorClass@VVector2@@@@	0x7ff920	1	0x1f6f0
.?AV?$LuaValue@N$03@@	0x7ff930	6	0x1f92b0,0x1f92c0,0x1f730,0x1f9d0,0x1fc20,0x1fc30
.?AVPlayersCommand@@	0x7ff988	5	0x1f7a0,0x1fa90,0x1fc40,0x1faa0,0x1fa10
.?AVSwitchSidesCommand@@	0x7ffa38	5	0x1f760,0x1fa90,0x1fa90,0x1fb30,0x1fa50
.?AV?$SingletonInstance@VSteamLobbyDialogClass@@@@	0x7ffcb0	2	0x25a50,0x25a90
.?AV?$SingletonInstance@VSteamClass@@@@	0x7ffcc8	2	0x25ac0,0x25b00
.?AV?$DynamicVectorClass@UInternetPlayerStruct@@@@	0x800000	1	0x27170
.?AV?$SingletonInstance@VMousePointerClass@@@@	0x800428	2	0x2dc80,0x2dcd0
