offset	total	widths
0x8	21	8:21
0xb	2	&:1,4:1
0xc	2	&:1,4:1
0xd	2	&:1,4:1
0xe	2	&:1,4:1
0x10	9	&:1,8:8
0x28	129	&:51,8:78
0x30	2	&:1,4:1
0x34	2	&:1,4:1
0x38	1	8:1
0x40	2	8:2
0x48	2	8:2
0x4c	2	&:1,4:1
0x54	2	&:1,4:1
0x5c	2	&:1,1:1
0x6c	2	&:1,1:1
0x6d	2	&:1,1:1
0x78	1	&:1
0x80	2	&:1,8:1
0x90	2	&:1,8:1
0xa8	2	&:1,8:1
0xd8	1	&:1
0x138	10	&:6,8:4
0x140	14	&:7,8:7
0x148	2	&:1,8:1
0x150	1	&:1
0x168	1	&:1
0x170	6	&:6
0x1e8	2	&:1,4:1
0x1f0	1	&:1
0x210	3	&:3
0x248	2	&:1,4:1
0x24c	8	&:4,4:4
0x250	4	&:2,4:2
0x254	4	&:2,4:2
0x25c	4	&:2,4:2
0x260	2	&:1,1:1
0x264	2	&:1,4:1
0x275	2	&:1,1:1
0x288	2	&:1,4:1
0x2f0	1	&:1
0x370	2	&:1,4f:1
0x658	2	&:1,4f:1
